Date,USD
2016/9/7,12820469.85
2016/9/8,12855681.23
2016/9/9,12830501.98
2016/9/10,12838689.77
2016/9/11,12762145.31
2016/9/12,12766931.63
2016/9/13,12776706.51
2016/9/14,12776892.48
2016/9/15,12985959.74
2016/9/16,12990249.08
2016/9/17,12991498.86
2016/9/18,12985000.28
2016/9/19,12988714.22
2016/9/20,13036979.4
2016/9/21,12992024.55
2016/9/22,12977416.01
2016/9/23,12974767.71
2016/9/24,12961126.41
2016/9/25,12971052.06
2016/9/26,12956594.54
2016/9/27,12959410.68
2016/9/28,12966736.78
2016/9/29,12961081.74
2016/9/30,12961942.36
2016/10/1,12959516.3
2016/10/2,12943484.48
2016/10/3,12953764.03
2016/10/4,12945742.21
2016/10/5,12945487.8
2016/10/6,12938569.55
2016/10/7,12974203.59
2016/10/8,13015074.08
2016/10/9,12999535.47
2016/10/10,13047412.95
2016/10/11,13214312.38
2016/10/12,13186945.03
2016/10/13,13108673.35
2016/10/14,13181897.51
2016/10/15,13154925.83
2016/10/16,13148252.05
2016/10/17,13098496.26
2016/10/18,13081813.82
2016/10/19,12949890.45
2016/10/20,12996515.87
2016/10/21,12971190.47
2016/10/22,12982918.39
2016/10/23,12967910.67
2016/10/24,12942679.96
2016/10/25,12960572.65
2016/10/26,13005781.56
2016/10/27,13023530.15
2016/10/28,13037540.24
2016/10/29,13233139.51
2016/10/30,13044124.84
2016/10/31,13054743.75
2016/11/1,13059607.62
2016/11/2,13062989.61
2016/11/3,13046712.82
2016/11/4,13036637.74
2016/11/5,13037126.35
2016/11/6,13038636.57
2016/11/7,13039624.69
2016/11/8,13039087.53
2016/11/9,13043179.85
2016/11/10,13037498.53
2016/11/11,13041634.38
2016/11/12,13050425.17
2016/11/13,13036637.84
2016/11/14,13039391.35
2016/11/15,13028398.83
2016/11/16,13361137
2016/11/17,13368331.65
2016/11/18,13339843.72
2016/11/19,13314832.19
2016/11/20,13336540.28
2016/11/21,13356778.01
2016/11/22,13367374.55
2016/11/23,13473143.64
2016/11/24,13573974.77
2016/11/25,13554472.76
2016/11/26,13521914.07
2016/11/27,13579581.22
2016/11/28,13606054.54
2016/11/29,13653413.17
2016/11/30,13592521.26
2016/12/1,13595980.72
2016/12/2,13652930.33
2016/12/3,13631414.64
2016/12/4,13655293.54
2016/12/5,13671598.78
2016/12/6,13546619.19
2016/12/7,13464394.93
2016/12/8,13457109.31
2016/12/9,13432432.9
2016/12/10,13432132.58
2016/12/11,13439775.8
2016/12/12,13441082.61
2016/12/13,13437772.81
2016/12/14,13437518.02
2016/12/15,13443166.82
2016/12/16,13431705.67
2016/12/17,13434884.73
2016/12/18,13431144.6
2016/12/19,13429487.8
2016/12/20,13439415.55
2016/12/21,13480423.53
2016/12/22,13567638.75
2016/12/23,13840210.11
2016/12/24,13755712.51
2016/12/25,13743659.87
2016/12/26,13748239.08
2016/12/27,13800174.22
2016/12/28,13848201.94
2016/12/29,13849157.66
2016/12/30,13816140.92
2016/12/31,13817994.49
2017/1/1,13836287.78
2017/1/2,13851448.5
2017/1/3,13885962.06
2017/1/4,13978025.96
2017/1/5,13881285.71
